id,lon,lat,yagis
547,38.31,30.75,0.079573
548,38.31,30.79,0.084635
549,38.31,30.83,0.084214
550,38.31,30.87,0.078198
551,38.31,30.91,0.073646
552,38.31,30.95,0.069232
553,38.31,30.99,0.064586
554,38.31,31.03,0.060301
555,38.31,31.07,0.061066
556,38.31,31.11,0.068854
557,38.31,31.15,0.076536
558,38.31,31.19,0.082233
559,38.31,31.23,0.084831
560,38.31,31.27,0.086603
561,38.31,31.31,0.08613
562,38.31,31.35,0.084404
563,38.31,31.39,0.083215
564,38.31,31.43,0.094146
565,38.31,31.47,0.115899
566,38.31,31.51,0.139662
567,38.31,31.55,0.147722
568,38.31,31.59,0.144963
569,38.31,31.63,0.142601
570,38.31,31.67,0.138648
571,38.31,31.71,0.133701
572,38.31,31.75,0.128729
573,38.31,31.79,0.131842
574,38.31,31.83,0.138361
575,38.31,31.87,0.145038
576,38.31,31.91,0.144043
577,38.31,31.95,0.140799
578,38.31,31.99,0.137706
579,38.31,32.03,0.13077
580,38.31,32.07,0.123008
581,38.35,29.79,0.020711
582,38.35,29.83,0.026446
583,38.35,29.87,0.032187
584,38.35,29.91,0.03623
585,38.35,29.95,0.040544
586,38.35,29.99,0.045316
587,38.35,30.03,0.038097
588,38.35,30.07,0.030475
589,38.35,30.11,0.022848
590,38.35,30.15,0.018184
591,38.35,30.19,0.013234
592,38.35,30.23,0.009429
593,38.35,30.27,0.023866
594,38.35,30.31,0.039414
595,38.35,30.35,0.051503
596,38.35,30.39,0.028725
597,38.35,30.43,0.013982
598,38.35,30.47,0.007491
599,38.35,30.51,0.018189
600,38.35,30.55,0.03727
601,38.35,30.59,0.063088
602,38.35,30.63,0.066829
603,38.35,30.67,0.07062
604,38.35,30.71,0.080728
605,38.35,30.75,0.107627
606,38.35,30.79,0.134622
607,38.35,30.83,0.142974
608,38.35,30.87,0.113323
609,38.35,30.91,0.08551
610,38.35,30.95,0.066912
611,38.35,30.99,0.061447
612,38.35,31.03,0.056143
613,38.35,31.07,0.05641
614,38.35,31.11,0.064137
615,38.35,31.15,0.071901
616,38.35,31.19,0.078658
617,38.35,31.23,0.08353
618,38.35,31.27,0.087567
619,38.35,31.31,0.061964
620,38.35,31.35,0.02805
621,38.35,31.39,0.006786
622,38.35,31.43,0.015652
623,38.35,31.47,0.052608
624,38.35,31.51,0.109948
625,38.35,31.55,0.141449
626,38.35,31.59,0.143376
627,38.35,31.63,0.145702
628,38.35,31.67,0.142211
629,38.35,31.71,0.135684
630,38.35,31.75,0.129083
631,38.35,31.79,0.13047
632,38.35,31.83,0.135093
633,38.35,31.87,0.139897
634,38.35,31.91,0.13806
635,38.35,31.95,0.134419
636,38.35,31.99,0.130967
637,38.35,32.03,0.12403
638,38.35,32.07,0.116321
639,38.39,29.79,0.023686
640,38.39,29.83,0.034229
641,38.39,29.87,0.044746
642,38.39,29.91,0.043965
643,38.39,29.95,0.043142
644,38.39,29.99,0.042615
645,38.39,30.03,0.034239
646,38.39,30.07,0.025644
647,38.39,30.11,0.017371
648,38.39,30.15,0.016772
649,38.39,30.19,0.016033
650,38.39,30.23,0.016798
651,38.39,30.27,0.03126
652,38.39,30.31,0.046635
653,38.39,30.35,0.059321
654,38.39,30.39,0.05137
655,38.39,30.43,0.042669
656,38.39,30.47,0.037188
657,38.39,30.51,0.044423
658,38.39,30.55,0.053954
659,38.39,30.59,0.064431
660,38.39,30.63,0.071511
661,38.39,30.67,0.07859
662,38.39,30.71,0.090207
663,38.39,30.75,0.112646
664,38.39,30.79,0.135425
665,38.39,30.83,0.139863
666,38.39,30.87,0.11072
667,38.39,30.91,0.08329
668,38.39,30.95,0.065033
669,38.39,30.99,0.058924
670,38.39,31.03,0.052982
671,38.39,31.07,0.051956
672,38.39,31.11,0.056984
673,38.39,31.15,0.062091
674,38.39,31.19,0.069288
675,38.39,31.23,0.078353
676,38.39,31.27,0.087121
677,38.39,31.31,0.034448
678,38.39,31.35,-0.011354
679,38.39,31.39,-0.032931
680,38.39,31.43,-0.02719
681,38.39,31.47,0.004086
682,38.39,31.51,0.072676
683,38.39,31.55,0.129505
684,38.39,31.59,0.137998
685,38.39,31.63,0.147421
686,38.39,31.67,0.145359
687,38.39,31.71,0.137649
688,38.39,31.75,0.129854
689,38.39,31.79,0.128645
690,38.39,31.83,0.129941
691,38.39,31.87,0.131337
692,38.39,31.91,0.130166
693,38.39,31.95,0.12852
694,38.39,31.99,0.127146
695,38.39,32.03,0.123438
696,38.39,32.07,0.11913
697,38.43,29.79,0.026055
698,38.43,29.83,0.031113
699,38.43,29.87,0.036455
700,38.43,29.91,0.036586
701,38.43,29.95,0.036552
702,38.43,29.99,0.036143
703,38.43,30.03,0.030542
704,38.43,30.07,0.02462
705,38.43,30.11,0.019186
706,38.43,30.15,0.021163
707,38.43,30.19,0.023173
708,38.43,30.23,0.026694
709,38.43,30.27,0.039402
710,38.43,30.31,0.052952
711,38.43,30.35,0.064877
712,38.43,30.39,0.066369
713,38.43,30.43,0.067877
714,38.43,30.47,0.069675
715,38.43,30.51,0.072328
716,38.43,30.55,0.075025
717,38.43,30.59,0.078539
718,38.43,30.63,0.084165
719,38.43,30.67,0.090009
720,38.43,30.71,0.099497
721,38.43,30.75,0.116395
722,38.43,30.79,0.13374
723,38.43,30.83,0.135106
724,38.43,30.87,0.109828
725,38.43,30.91,0.085607
726,38.43,30.95,0.0695
727,38.43,30.99,0.063615
728,38.43,31.03,0.057856
729,38.43,31.07,0.055639
730,38.43,31.11,0.057442
731,38.43,31.15,0.059344
732,38.43,31.19,0.065039
733,38.43,31.23,0.074555
734,38.43,31.27,0.084461
735,38.43,31.31,0.017347
736,38.43,31.35,-0.027945
737,38.43,31.39,-0.046839
738,38.43,31.43,-0.043417
739,38.43,31.47,-0.022129
740,38.43,31.51,0.023503
741,38.43,31.55,0.070947
742,38.43,31.59,0.099708
743,38.43,31.63,0.136463
744,38.43,31.67,0.145222
745,38.43,31.71,0.139215
746,38.43,31.75,0.133115
747,38.43,31.79,0.129364
748,38.43,31.83,0.126522
749,38.43,31.87,0.123764
750,38.43,31.91,0.122851
751,38.43,31.95,0.122756
752,38.43,31.99,0.123025
753,38.43,32.03,0.12295
754,38.43,32.07,0.122635
755,38.47,29.79,0.028203
756,38.47,29.83,0.027475
757,38.47,29.87,0.026997
758,38.47,29.91,0.028259
759,38.47,29.95,0.029182
760,38.47,29.99,0.02954
761,38.47,30.03,0.027155
762,38.47,30.07,0.024604
763,38.47,30.11,0.022802
764,38.47,30.15,0.027121
765,38.47,30.19,0.031546
766,38.47,30.23,0.03707
767,38.47,30.27,0.047518
768,38.47,30.31,0.058673
769,38.47,30.35,0.069606
770,38.47,30.39,0.077382
771,38.47,30.43,0.085159
772,38.47,30.47,0.091907
773,38.47,30.51,0.095784
774,38.47,30.55,0.099653
775,38.47,30.59,0.102479
776,38.47,30.63,0.103257
777,38.47,30.67,0.104392
778,38.47,30.71,0.108958
779,38.47,30.75,0.119396
780,38.47,30.79,0.130056
781,38.47,30.83,0.129151
782,38.47,30.87,0.110894
783,38.47,30.91,0.093143
784,38.47,30.95,0.08191
785,38.47,30.99,0.078443
786,38.47,31.03,0.075048
787,38.47,31.07,0.072359
788,38.47,31.11,0.070505
789,38.47,31.15,0.068838
790,38.47,31.19,0.069507
791,38.47,31.23,0.072491
792,38.47,31.27,0.075983
793,38.47,31.31,0.008289
794,38.47,31.35,-0.031969
795,38.47,31.39,-0.048375
796,38.47,31.43,-0.048546
797,38.47,31.47,-0.040834
798,38.47,31.51,-0.030167
799,38.47,31.55,-0.012364
800,38.47,31.59,0.01994
801,38.47,31.63,0.091729
802,38.47,31.67,0.134249
803,38.47,31.71,0.138785
804,38.47,31.75,0.143285
805,38.47,31.79,0.137568
806,38.47,31.83,0.128552
807,38.47,31.87,0.119559
808,38.47,31.91,0.117403
809,38.47,31.95,0.117102
810,38.47,31.99,0.116954
811,38.47,32.03,0.122642
812,38.47,32.07,0.129464
813,38.51,29.79,0.033777
814,38.51,29.83,0.0322
815,38.51,29.87,0.03045
816,38.51,29.91,0.02893
817,38.51,29.95,0.02736
818,38.51,29.99,0.026211
819,38.51,30.03,0.028203
820,38.51,30.07,0.03001
821,38.51,30.11,0.03195
822,38.51,30.15,0.035588
823,38.51,30.19,0.039556
824,38.51,30.23,0.044173
825,38.51,30.27,0.050463
826,38.51,30.31,0.057457
827,38.51,30.35,0.067021
828,38.51,30.39,0.082107
829,38.51,30.43,0.097128
830,38.51,30.47,0.108903
831,38.51,30.51,0.113207
832,38.51,30.55,0.117638
833,38.51,30.59,0.116157
834,38.51,30.63,0.104152
835,38.51,30.67,0.094467
836,38.51,30.71,0.094823
837,38.51,30.75,0.108532
838,38.51,30.79,0.122131
839,38.51,30.83,0.124419
840,38.51,30.87,0.11201
841,38.51,30.91,0.099996
842,38.51,30.95,0.093256
843,38.51,30.99,0.092331
844,38.51,31.03,0.091597
845,38.51,31.07,0.088454
846,38.51,31.11,0.083085
847,38.51,31.15,0.077984
848,38.51,31.19,0.073677
849,38.51,31.23,0.07015
850,38.51,31.27,0.067017
851,38.51,31.31,-0.000774
852,38.51,31.35,-0.035966
853,38.51,31.39,-0.049868
854,38.51,31.43,-0.053286
855,38.51,31.47,-0.053553
856,38.51,31.51,-0.053725
857,38.51,31.55,-0.044262
858,38.51,31.59,-0.019019
859,38.51,31.63,0.056113
860,38.51,31.67,0.123536
861,38.51,31.71,0.138665
862,38.51,31.75,0.153617
863,38.51,31.79,0.145758
864,38.51,31.83,0.130902
865,38.51,31.87,0.116026
