NAME,KEY,H0160001,H0160002,H0160003,H0160004,H0160005,H0160006,H0160007,H0160008,H0160009,H0160010,H0160011,H0160012,H0160013,H0160014,H0160015,H0160016,H0160017,H0040001,P0030001,STATE,COUNTY,TRACT,BLKGRP,BLOCK
Block 2013,36109309723096100220022013,24,12,3,3,1,1,2,0,2,12,2,4,2,1,1,2,0,24,80,36,109,002200,2,2013
Block 2014,36109309723096100220022014,40,40,4,21,4,10,0,1,0,0,0,0,0,0,0,0,0,40,104,36,109,002200,2,2014
Block 3009,36109309723096100220033009,59,51,9,21,7,8,5,0,1,8,5,3,0,0,0,0,0,59,147,36,109,002200,3,3009
Block 3010,36109309723096100220033010,6,6,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,6,20,36,109,002200,3,3010
Block 3011,36109309723096100220033011,36,30,4,11,3,7,2,1,2,6,1,5,0,0,0,0,0,36,104,36,109,002200,3,3011
Block 3012,36109309723096100220033012,5,4,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,5,19,36,109,002200,3,3012
Block 3016,36109309723096100220033016,16,13,3,6,0,2,1,1,0,3,2,0,0,1,0,0,0,16,40,36,109,002200,3,3016
Block 3017,36109309723096100220033017,3,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,3,8,36,109,002200,3,3017
Block 3018,36109309723096100220033018,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,36,109,002200,3,3018
Block 3019,36109309723096100220033019,6,2,1,1,0,0,0,0,0,4,1,2,0,0,1,0,0,6,13,36,109,002200,3,3019
Block 3020,36109309723096100220033020,16,15,2,7,0,4,2,0,0,1,1,0,0,0,0,0,0,16,47,36,109,002200,3,3020
Block 3021,36109309723096100220033021,7,1,0,1,0,0,0,0,0,6,0,3,2,0,0,0,1,7,21,36,109,002200,3,3021
Block 3022,36109309723096100220033022,28,3,1,1,1,0,0,0,0,25,14,3,6,1,1,0,0,28,53,36,109,002200,3,3022
Block 3023,36109309723096100220033023,4,2,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,4,7,36,109,002200,3,3023
Block 3024,36109309723096100220033024,24,22,1,15,2,2,2,0,0,2,1,0,1,0,0,0,0,24,59,36,109,002200,3,3024
Block 3025,36109309723096100220033025,11,10,2,3,1,3,1,0,0,1,0,0,0,1,0,0,0,11,32,36,109,002200,3,3025
Block 3026,36109309723096100220033026,59,0,0,0,0,0,0,0,0,59,49,10,0,0,0,0,0,59,148,36,109,002200,3,3026
Block 3027,36109309723096100220033027,17,11,1,6,1,0,3,0,0,6,3,1,1,1,0,0,0,17,43,36,109,002200,3,3027
Block 3028,36109309723096100220033028,9,4,2,1,0,1,0,0,0,5,2,3,0,0,0,0,0,9,16,36,109,002200,3,3028
Block 3029,36109309723096100220033029,10,9,2,2,3,1,0,1,0,1,0,0,0,1,0,0,0,10,29,36,109,002200,3,3029
Block 3030,36109309723096100220033030,31,14,3,5,3,2,1,0,0,17,11,3,2,1,0,0,0,31,62,36,109,002200,3,3030
Block 3031,36109309723096100220033031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,3,3031
Block 3033,36109309723096100220033033,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,10,36,109,002200,3,3033
Block 3034,36109309723096100220033034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,002200,3,3034
